variable,lower,median,upper,distribution,label,Description
increased_veterinary_costs_heat_30GC_perc,0.09,NA,0.2,posnorm,Increase in veterinary costs due to heat stress 30GC,Increase in veterinary costs due to heat stress 30GC (% ) 
increased_veterinary_costs_heat_31GC_perc,0.11,NA,0.22,posnorm,Increase in veterinary costs due to heat stress 31GC,Increase in veterinary costs due to heat stress 31GC (% ) 
increased_veterinary_costs_heat_32GC_perc,0.13,NA,0.24,posnorm,Increase in veterinary costs due to heat stress 32GC,Increase in veterinary costs due to heat stress 32GC (% ) 
increased_veterinary_costs_heat_33GC_perc,0.15,NA,0.27,posnorm,Increase in veterinary costs due to heat stress 33GC,Increase in veterinary costs due to heat stress 33GC (% ) 
increased_veterinary_costs_heat_34GC_perc,0.17,NA,0.3,posnorm,Increase in veterinary costs due to heat stress 34GC,Increase in veterinary costs due to heat stress 34GC (% ) 
increased_veterinary_costs_heat_35GC_perc,0.19,NA,0.33,posnorm,Increase in veterinary costs due to heat stress 35GC,Increase in veterinary costs due to heat stress 35GC (% ) 
increased_veterinary_costs_heat_36GC_perc,0.21,NA,0.37,posnorm,Increase in veterinary costs due to heat stress 36GC,Increase in veterinary costs due to heat stress 36GC (% ) 
AF_on_milk_production_AF_5_10_fac,0.95,NA,1.2,posnorm,AF 5_10% reduction of milk production from grazing,AF 5_10% reduction of milk production from grazing (% ) 
AF_on_milk_production_AF_10_15_fac,0.93,NA,1.3,posnorm,AF 10_15% reduction of milk production from grazing,AF 10_15% reduction of milk production from grazing (% ) 
AF_on_milk_production_AF_15_20_fac,0.9,NA,1.3,posnorm,AF 15_20% reduction of milk production from grazing,AF 15_20% reduction of milk production from grazing (% ) 
AF_on_milk_production_AF_20_25_fac,0.88,NA,1.3,posnorm,AF 20_25% reduction of milk production from grazing,AF 20_25% reduction of milk production from grazing (% ) 
AF_on_seed_costs_after_drought,0.2,NA,0.6,tnorm_0_1,Reduction of additional seed costs after a drought,Reduction of additional seed costs after a drought (% ) 
EcoB_erosion,0.5,NA,30,norm,Erosion losses,Erosion losses (EUR/ha) 
AF_on_erosion,0.1,NA,0.5,tnorm_0_1,AF influence on erosion,AF influence on erosion (%) 
EcoB_groundwater_AF,0,NA,2,norm,OeSE groundwater recharge,OeSE groundwater recharge (EUR/ha) 
EcoB_carbon_storage_AF,15,NA,30,posnorm,OeSE carbon sequestration,OeSE carbon sequestration (EUR/ha) 
EcoB_nutrient_loss,14,NA,55,posnorm,OeSK nutrient leaching,OeSK nutrient leaching (EUR/ha) 
AF_on_nutrient_loss,0.1,NA,0.4,tnorm_0_1,AF reduction of nutrient leaching,AF reduction of nutrient leaching (% ) 
EcoB_pollination_AF,0,NA,10,norm,OeSE pollination,OeSE pollination (EUR/ha) 
EcoB_biodiversity_aesthetics,200,NA,800,posnorm,OeSE biodiversity and landscape aesthetics,OeSE biodiversity and landscape aesthetics (EUR/ha) 
